epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1463.17,0.7089,0.69424,1.10231,0.88631,0.83752,0.91362,0.70009,0.83966,0.67007,1.26546,0.000189943,0.000189943,0.000189943
57,1488.4,0.70583,0.67977,1.0983,0.88579,0.84985,0.92056,0.70445,0.84224,0.66511,1.25675,0.000185815,0.000185815,0.000185815
58,1513.43,0.69575,0.68824,1.09718,0.83407,0.86025,0.90051,0.69705,0.8231,0.69876,1.26278,0.000181687,0.000181687,0.000181687
59,1538.52,0.7027,0.70245,1.10527,0.89277,0.8585,0.92107,0.70985,0.81424,0.62888,1.25803,0.000177559,0.000177559,0.000177559
60,1563.55,0.69317,0.68154,1.10431,0.89524,0.82952,0.91042,0.70393,0.8215,0.67318,1.2577,0.00017343,0.00017343,0.00017343
61,1588.74,0.69405,0.66522,1.09509,0.86211,0.87837,0.91616,0.70569,0.83901,0.64976,1.26272,0.000169302,0.000169302,0.000169302
62,1613.72,0.70398,0.66807,1.10341,0.87197,0.85636,0.91405,0.70622,0.82473,0.65913,1.25748,0.000165174,0.000165174,0.000165174
63,1639.09,0.69089,0.65745,1.08112,0.88913,0.85188,0.91343,0.7014,0.82951,0.64505,1.26996,0.000161045,0.000161045,0.000161045
64,1664.21,0.68845,0.6658,1.08228,0.85935,0.86914,0.91596,0.71171,0.82086,0.6339,1.25267,0.000156917,0.000156917,0.000156917
65,1689.22,0.66445,0.64925,1.0821,0.88296,0.84669,0.91708,0.70586,0.83582,0.66016,1.26118,0.000152789,0.000152789,0.000152789
66,1714.27,0.67502,0.66991,1.09381,0.88794,0.84809,0.9144,0.70281,0.82751,0.64114,1.26508,0.00014866,0.00014866,0.00014866
67,1740.65,0.664,0.64616,1.07903,0.87726,0.85922,0.91776,0.70887,0.82451,0.63983,1.26539,0.000144532,0.000144532,0.000144532
68,1766.84,0.65973,0.64172,1.07596,0.88783,0.8599,0.91998,0.71109,0.82969,0.63003,1.25288,0.000140404,0.000140404,0.000140404
69,1791.77,0.66329,0.6256,1.07997,0.86055,0.85923,0.90974,0.70048,0.83382,0.66308,1.2626,0.000136276,0.000136276,0.000136276
70,1816.85,0.66102,0.62745,1.07856,0.8961,0.85454,0.9188,0.7108,0.81758,0.62019,1.26176,0.000132147,0.000132147,0.000132147
71,1841.8,0.64198,0.60526,1.06683,0.87252,0.8735,0.91747,0.70989,0.81453,0.62674,1.26111,0.000128019,0.000128019,0.000128019
72,1866.72,0.64675,0.62927,1.07638,0.88785,0.86219,0.92126,0.71697,0.81666,0.61157,1.26076,0.000123891,0.000123891,0.000123891
73,1893.35,0.65592,0.61958,1.07339,0.88069,0.86634,0.91782,0.70599,0.83145,0.62419,1.27298,0.000119762,0.000119762,0.000119762
