epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1133.88,1.1012,0.63766,1.04258,0.91285,0.8673,0.89789,0.48787,1.67077,0.82683,1.38047,0.000165095,0.000165095,0.000165095
88,1147.61,1.09862,0.65701,1.03514,0.87773,0.88003,0.89335,0.49399,1.66633,0.83291,1.39189,0.000154096,0.000154096,0.000154096
89,1161.4,1.0777,0.6394,1.01708,0.90338,0.88914,0.89578,0.48445,1.67491,0.84118,1.38949,0.000143097,0.000143097,0.000143097
90,1175.17,1.05805,0.63278,1.02806,0.86812,0.87933,0.8906,0.48822,1.66979,0.83751,1.3959,0.000132098,0.000132098,0.000132098
91,1191.1,1.06447,0.59616,1.03283,0.79846,0.8724,0.861,0.46325,1.68637,0.84039,1.40841,0.000121099,0.000121099,0.000121099
92,1204.86,1.02899,0.58976,1.00157,0.84911,0.81922,0.86922,0.47578,1.68311,0.82855,1.40795,0.0001101,0.0001101,0.0001101
93,1218.52,1.01974,0.5685,0.99214,0.86791,0.86799,0.87952,0.48698,1.67738,0.82449,1.41715,9.91012e-05,9.91012e-05,9.91012e-05
94,1232.34,0.99245,0.55154,0.99448,0.89573,0.8543,0.89496,0.49269,1.67992,0.82745,1.41903,8.81023e-05,8.81023e-05,8.81023e-05
95,1246.27,0.9932,0.55541,0.99628,0.89231,0.88285,0.89364,0.49026,1.67457,0.81368,1.41374,7.71034e-05,7.71034e-05,7.71034e-05
96,1260.17,0.98893,0.54813,0.98994,0.90417,0.87761,0.89537,0.4973,1.66975,0.818,1.40613,6.61045e-05,6.61045e-05,6.61045e-05
97,1274.12,0.97074,0.53368,0.98416,0.8909,0.8665,0.88201,0.49487,1.67171,0.81455,1.40463,5.51056e-05,5.51056e-05,5.51056e-05
98,1288.1,0.98372,0.53934,0.98781,0.88794,0.86935,0.88438,0.48836,1.67293,0.81201,1.40474,4.41067e-05,4.41067e-05,4.41067e-05
99,1302.12,0.98905,0.53655,0.9894,0.88655,0.89088,0.89594,0.49397,1.67927,0.81503,1.40867,3.31078e-05,3.31078e-05,3.31078e-05
100,1316.12,0.96482,0.53084,0.9824,0.88427,0.88243,0.89,0.48858,1.68175,0.81725,1.40727,2.21089e-05,2.21089e-05,2.21089e-05
